                                   Produced by tracking algorithm WTRACK revision 167, developed by Freie Universitaet Berlin-Institute of Meteorology
        DATE INDEX  SIZE     AREA     LON     LAT   RADIUS   MEANV    STDV    MINV    MAXV  LONMAX  LATMAX       SSIn       SSIs         SSIu      SSIan
Event: 202300016 Start:   2023100300 Length:  4 Area:      72.192 SSIscaled:      0.15421 SSIarea:      0.19456
  2023101012    85    91   86.586   23.85   53.34   908.60   28.41    3.30   22.30   35.96   22.50   54.39    1.16378   19451.42     1672905.8    1.46835
  2023101018    85    87   82.995   24.06   52.93   860.94   28.45    3.11   22.13   35.17   23.62   54.39    0.94956   16025.47     1601595.2    1.19807
  2023101100    85    82   76.122   24.43   53.81   950.94   27.43    3.22   21.57   33.64   23.62   55.51    0.64481   10751.30     1323865.8    0.81357
  2023101106    85   116  105.304   25.23   54.07  1217.47   26.49    2.77   21.51   32.83   23.62   54.39    0.56346    9164.05     1636399.0    0.71093
  2023101112    85   118  108.155   31.46   50.66  1644.79   26.51    1.96   21.89   30.36   32.62   49.91    0.57956    8292.88     1657183.1    0.73124
  2023101118    85    30   30.271   36.08   49.48   530.19   24.43    1.26   22.13   26.39   38.25   48.78    0.02918     415.25      359779.4    0.03681
  2023101200    85    41   40.844   36.59   50.05   594.55   25.67    2.20   22.61   29.64   37.12   49.91    0.17581    2551.04      571269.8    0.22183
  2023101206    85    78   71.891   36.28   50.51  1719.99   25.77    2.20   22.09   30.56   37.12   49.91    0.30988    4532.48     1017049.9    0.39098
  2023101212    85    57   54.768   37.33   50.46  1051.45   25.48    1.60   22.13   28.91   38.25   49.91    0.12316    1812.91      741013.8    0.15540
  2023101218    85    26   25.834   37.35   50.28   498.65   24.25    1.15   22.17   26.19   38.25   49.91    0.01536     224.96      300028.3    0.01939
  2023101300    85    23   22.844   36.28   50.62   507.24   24.13    1.04   22.53   25.85   34.88   51.03    0.01019     149.02      261032.1    0.01286
Event: 202300100 Start:   2023101112 Length:  5 Area:      76.240 SSIscaled:      0.27081 SSIarea:      0.34167
  2023101112   100    26   15.117  253.60   68.41   357.46   23.53    1.15   21.16   25.23  254.25   67.85    0.01720     209.38      160363.8    0.02170
  2023101118   100    38   20.487  257.63   70.03   500.70   23.83    1.48   21.12   26.34  256.50   71.21    0.04727     567.05      226843.8    0.05964
  2023101200   100    45   23.083  262.29   71.09   486.88   23.52    1.33   21.19   25.88  262.12   71.21    0.03839     461.44      245376.1    0.04843
  2023101206   100    64   30.157  268.03   72.79   576.67   23.69    1.84   21.02   27.35  267.75   73.46    0.11350    1298.38      330145.4    0.14319
  2023101212   100    52   23.408  272.47   73.41   403.56   22.92    1.59   20.07   25.95  272.25   73.46    0.05446     594.62      231225.3    0.06871
Event: 202300101 Start:   2023101112 Length:  6 Area:      93.974 SSIscaled:      0.06221 SSIarea:      0.07849
  2023101112   101    24   18.104  293.46   61.76   482.89   23.58    0.64   22.38   24.89  288.00   58.88    0.00024       3.67      192460.7    0.00031
  2023101118   101    43   33.132  295.18   60.80   509.99   25.11    0.83   22.99   26.21  290.25   58.88    0.02273     340.44      425511.8    0.02868
  2023101200   101    24   18.956  300.20   59.84   387.10   25.94    1.31   23.25   27.49  300.38   60.00    0.01173     204.25      269611.4    0.01480
  2023101206   101    36   22.004  302.35   66.91   399.58   23.32    1.36   20.11   25.31  303.75   65.61    0.01581     190.70      228034.5    0.01995
  2023101212   101    42   27.769  304.46   64.77   591.92   25.07    2.48   20.67   29.64  307.12   62.24    0.00395      67.09      364269.7    0.00498
  2023101218   101    22   17.417  308.45   59.03   380.76   28.48    1.69   24.82   30.77  309.38   58.88    0.00774     185.78      328787.3    0.00977
Event: 202300119 Start:   2023101218 Length:  9 Area:     311.385 SSIscaled:      4.48278 SSIarea:      5.65599
  2023101218   119    66   88.907  321.21   33.04  1270.97   23.83    6.93   14.21   43.41  321.75   35.33    2.43831   35212.09     1242029.2    3.07645
  2023101300   119   108  141.215  321.88   35.93  1577.27   24.47    5.99   14.48   40.95  325.12   38.69    0.56637   11755.92     1982792.4    0.71460
  2023101306   119    97  126.503  317.27   34.61  1064.29   24.99    5.21   14.57   36.11  315.00   38.69    0.36703    6855.75     1802608.4    0.46308
  2023101312   119    75   96.398  322.59   34.66   770.47   26.49    3.86   17.07   31.91  321.75   35.33    0.30772    5321.78     1537763.2    0.38826
  2023101318   119    65   83.210  326.46   35.50   996.46   27.19    4.86   16.23   34.20  326.25   37.57    0.60248   10950.31     1478684.1    0.76016
  2023101400   119    40   50.384  329.70   36.90   706.34   27.20    3.71   18.86   32.66  329.62   37.57    0.15521    3081.34      864925.4    0.19583
  2023101406   119    20   24.360  332.86   39.22   470.81   27.93    2.14   23.55   31.65  333.00   39.81    0.01621     378.47      436944.9    0.02045
  2023101412   119    43   48.316  340.05   44.47   808.58   29.66    2.03   25.36   32.93  343.12   47.66    0.01866     537.20     1034055.1    0.02355
  2023101418   119    29   32.139  344.04   45.15   642.21   29.61    1.57   26.57   31.92  344.25   45.42    0.01079     302.37      680557.9    0.01361
Event: 202300122 Start:   2023101300 Length:  8 Area:     137.290 SSIscaled:      3.52219 SSIarea:      4.44395
